data,address,win_rate,followers,trades_30d,pnl_30d,pnl_ratio,sol_balance,wallet_age_days,tags,twitter
2026-04-16,4BfWVLy15vLYfCbZ3MJk1vSkVBZaKZZPUKWLgwMqZpZh,0.428,63,3284,19529.74,0.054,15.04,40.0,smart_degen,
2026-04-16,Hs5uA7ifgdTLMPh2dQwYBckHmjeoLb4nUHwu9sM63tCi,0.675,64,919,7955.48,0.028,0.0,69.0,"fomo,smart_degen",
2026-04-16,HerkeyfRFFi7fWuykrBZpKc733NxHU7DhYrSBKebLX1D,0.375,10,1358,7647.48,0.064,1.15,338.0,"axiom,smart_degen",
2026-04-16,CMWnXmtdmtttMMNu9YrzPfuEauS8sF9RomA1dkrvzdJq,0.657,21,1040,3341.82,0.031,0.0,129.0,"fomo,smart_degen",
2026-04-16,RaVenxw8kykBbW7KGBaBsb7fDkkBYK4uJVDSFun6ZxR,0.804,1045,42434,-487.4,-0.0,23.2,264.0,sandwich_bot,
2026-04-16,3oe7aYLUw2Pkbm7QMAhAjn5WbzaoG9tigkrX1mAecr1P,0.332,40,815,10300.0,0.047,0.05,153.0,"fomo,smart_degen",
2026-04-16,JAGPLMkgPWRxFJekMU8DRHRurw968GGYHRMEKUWheYcD,0.397,24,2426,5752.71,0.052,9.9,35.0,smart_degen,
2026-04-16,CqF3gUDojKuVdd6zBk2GZBTG84aAQ2b7tYeeyS18Sd2Z,0.537,239,12067,26411.55,0.008,48.32,49.0,smart_degen,
2026-04-16,FrZHQpVnDWppBn5BGVMZJ3Ub5txnnoymEsiBae6ZAZRb,0.548,11,4581,3643.8,0.026,0.99,17.0,smart_degen,
2026-04-16,EqfCCCcgYAqntbaNuE3Rz8UiJ5LGtfge5gPX4ng4Fg61,0.72,54,1202,1827.18,0.016,43.08,165.0,"padre,smart_degen",
2026-04-16,EqS3FuQ1EQs4V5tfmAKw4JmBDwvVJRyJu3x9vCy1vvtA,0.643,50,6231,10479.61,0.012,0.06,52.0,smart_degen,
2026-04-16,undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,0.667,19,619,1520.61,0.013,2.32,5.0,"fresh_wallet,smart_degen",
2026-04-16,CVxUKFrWDYkE3gsZP9gyVmLD6XkXykk2ukKhAfNrJev8,0.547,142,4448,8577.72,0.024,2.03,369.0,smart_degen,
2026-04-16,EjFnryt66QzmF4TETzaukibHdvRtoy2mvaf7WjfakVfU,0.506,4,264,4477.63,0.183,25.27,97.0,"gmgn,smart_degen",
2026-04-16,8SZnC4nicCmRBz1HZzFS1YrwMFEaEnkVi4k2oh5GEYV9,0.622,25,980,4774.93,0.026,0.33,173.0,"fomo,smart_degen",
2026-04-16,6qNdKb3A3zTZf4JpNbH6E6gKfwCHkNir4UUycC1eY9eh,0.463,11,865,2338.38,0.026,1.97,227.0,smart_degen,
2026-04-16,AemF6ySZeEpcg74vYK6K7JbGTzGwF2sYuQMKbqsvDaYG,0.484,28,1088,2746.62,0.022,0.08,435.0,smart_degen,
2026-04-16,4CH1wgHqyirN8KR3o9L8oYNpDtRmDccCtiRJjnjLtnYp,0.443,76,1006,7216.42,0.047,0.1,77.0,"fomo,smart_degen",
2026-04-16,ANcjgwPUScahAHTSTqnsfzPipuZNiNnVPjBACGDWmjjg,0.344,37,6150,7232.14,0.031,2.18,402.0,"axiom,bullx,padre,smart_degen",
2026-04-16,9bh68CX7yQ4bKBZdYqkWxS5WPzAMCyA7bJaFFddwbMZd,0.632,14,2502,520.43,0.005,55.19,16.0,smart_degen,
2026-04-16,HHgnYPAzvnUxvAPsBccisnZL8SRHR4PpKtRUTnjVfbdq,0.34,22,1363,6096.36,0.031,26.25,27.0,smart_degen,
2026-04-17,RaVenxw8kykBbW7KGBaBsb7fDkkBYK4uJVDSFun6ZxR,0.803,1045,41898,13161.24,0.002,18.18,265.0,sandwich_bot,
2026-04-17,8hfoNZCd2bK9aqCBkhg8f2L1AoL7qfHwd9tMv7x64qui,0.987,163,4827,11055.42,0.044,3.57,405.0,smart_degen,
2026-04-17,Ha3jPXVWz2VoESCEEH8YP8StcYF7p2A2hadUEd6bqu4w,0.544,2,836,3040.96,0.06,93.66,6.0,"fresh_wallet,smart_degen",
2026-04-17,92SZ12mxhQRehyDJuGfxSVvZPK5kGt6J87quRcfpsJcu,0.984,31,1375,5489.41,0.046,0.53,448.0,"gmgn,smart_degen",
2026-04-17,hnu5iBK8UoHb51UFsH1RYTUAYdrhjHvV5YMTf9T1CYN,0.485,1204,12648,80426.08,0.027,25.12,403.0,smart_degen,
2026-04-17,FpMpRBgywxDc6WCRN18MssALoGCge3prn42QE5f6unLP,0.612,22,617,3552.46,0.083,57.58,54.0,smart_degen,
2026-04-17,7s8wTs7LiSsMxNCZbRjX7fsH4UDs8GDaBJe3DsB8mFzk,0.601,85,628,1974.64,0.041,61.31,53.0,smart_degen,
2026-04-17,FrZHQpVnDWppBn5BGVMZJ3Ub5txnnoymEsiBae6ZAZRb,0.542,11,4729,3618.42,0.025,1.28,18.0,smart_degen,
2026-04-17,4oCkJH5RQMCvgS4qLozDEjmDBPQLmrdzucMoyCPEA2Nn,0.53,27,1560,11673.16,0.024,0.0,69.0,"fomo,smart_degen",
2026-04-17,AemF6ySZeEpcg74vYK6K7JbGTzGwF2sYuQMKbqsvDaYG,0.491,28,1112,4057.63,0.031,0.03,435.0,smart_degen,
2026-04-17,zeronaXJsbvPZFmzytV4RPXWBHQGMFcRCvoYaDNPiRL,0.776,37,12604,22807.09,0.041,0.19,45.0,smart_degen,
2026-04-17,EKMyLLujPDEQLLc7Xvx7ojc5rr5nFQPkvpoYK7bENH2,0.994,20,1620,5309.78,0.047,0.4,15.0,smart_degen,
2026-04-17,J7GR6XoJfCPwZumW9xZ1nbWkyaq1oYSQuSVmCdBTx6Nf,0.99,907,4201,39257.47,0.045,50.74,247.0,smart_degen,
2026-04-17,CMWnXmtdmtttMMNu9YrzPfuEauS8sF9RomA1dkrvzdJq,0.658,21,992,2726.53,0.027,0.0,129.0,"fomo,smart_degen",
2026-04-17,9fpUmh3Tv3UCdeHLyq3o4QhkTBu5XAbEiKP9FtGaSndb,0.526,590,1108,4914.72,0.028,217.4,403.0,"axiom,bullx,padre,smart_degen",
2026-04-17,9bh68CX7yQ4bKBZdYqkWxS5WPzAMCyA7bJaFFddwbMZd,0.627,16,2570,471.19,0.005,49.11,16.0,smart_degen,
2026-04-17,FTaSBuVj6w2S7XUa8fw19xrLy57DDr6kZDL6sxDXtvTP,0.444,357,761,13125.85,0.052,9.79,94.0,"gmgn,smart_degen",
2026-04-17,GoonY5hPo63xAPCwkyWuFmQ57HWq8wj5Bevj2D222U4u,0.483,20,1199,4716.02,0.034,17.74,51.0,smart_degen,
2026-04-17,4CH1wgHqyirN8KR3o9L8oYNpDtRmDccCtiRJjnjLtnYp,0.449,77,1068,7758.32,0.047,0.17,78.0,"fomo,smart_degen",
2026-04-17,AA4CroVKXUi7fro5gJ7SYD3TR8G1DwVri4LE97rVZvJi,0.327,19,292,2074.36,0.123,11.7,430.0,"gmgn,pepeboost,smart_degen",
2026-04-17,AEqPi4RCD7uRXmMB5ec6V4ehT74Ra2kEdmqVqtHUmyLh,0.36,80,6204,7075.99,0.013,34.78,212.0,"axiom,smart_degen",
2026-04-17,3kSUZ79VEfpy9Uw9sWnB1jG2GwmTQSCcn72NH57s1rCx,0.573,106,3149,23196.95,0.023,0.0,64.0,"fomo,padre,smart_degen",
2026-04-17,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,0.428,23801,30779,90387.72,0.101,573.39,403.0,"axiom,bullx,gmgn,top_renamed,wash_trader",vibed333
2026-04-17,G9QgVrF6onFT7L3qC2Yu74awhxiTqf3fRpc8QAirN79X,0.516,12,1711,4592.65,0.029,0.0,15.0,"fomo,smart_degen",
2026-04-17,4X77FRfDnQRhER7AmFXSxXRdqobi1Fa7hingewBDVgSc,0.539,10,2133,3329.94,0.031,14.68,401.0,"axiom,gmgn,smart_degen",
2026-04-17,29MQSvY6jzGsJLUojdTquofUgrzTusk1JUaqwJ6ac1MF,0.318,4,739,6669.68,0.106,0.1,6.0,"fresh_wallet,smart_degen",
2026-04-17,HrxQAC92gUmR8chzW4kZshYYbfnz1hepurvKDMJm8smv,0.491,47,1725,12326.91,0.059,0.14,100.0,smart_degen,
2026-04-17,E2tVJXu8GFjxxYeFftLSoqz9L15qVoqpDEiFGB7YJC8s,0.483,16,1039,3825.29,0.047,5.21,270.0,"axiom,smart_degen",
2026-04-17,DH2karT59SbVQzQKjtNomMLpdPJgvkp5NX9b2VcUvhBP,0.564,68,1030,5552.61,0.069,4.67,317.0,"axiom,smart_degen",
2026-04-17,JESUSL2s5BsffGNNn6wQtHART2iXVGjtGhKAwGw44bL,0.884,61,8927,22792.95,0.053,0.69,79.0,smart_degen,
2026-04-17,6nBi2HFVZHJF6Kn2zvr1ninZkjZNrc1XiQhGzXjg4GF,0.437,12,1343,1314.75,0.01,0.08,432.0,smart_degen,
2026-04-17,CqF3gUDojKuVdd6zBk2GZBTG84aAQ2b7tYeeyS18Sd2Z,0.539,252,11900,30101.14,0.009,36.07,49.0,smart_degen,
2026-04-18,Ha3jPXVWz2VoESCEEH8YP8StcYF7p2A2hadUEd6bqu4w,0.54,2,1145,4238.91,0.061,106.19,7.0,"fresh_wallet,smart_degen",
2026-04-18,BBStxbUjJUtifFF1zzGz45aXE8y5nSGfWWRkPHd66hLL,0.341,126,4689,3819.46,0.012,7.82,351.0,"axiom,smart_degen",
2026-04-18,undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,0.663,21,875,1981.19,0.012,2.89,7.0,"fresh_wallet,smart_degen",
2026-04-18,GrehxZss67nnc7AzrFRLc5vsuRqNHKLjDuvzjeh52xVu,0.637,25,2909,4129.87,0.008,0.43,34.0,smart_degen,
2026-04-18,HV56TXHsEzNd1bpia84zGkrhvSVuBayG5vh9KjneoYMf,0.476,106,3258,9582.01,0.021,171.81,518.0,"bullx,smart_degen",
2026-04-18,4X77FRfDnQRhER7AmFXSxXRdqobi1Fa7hingewBDVgSc,0.536,11,2208,3786.32,0.034,9.01,402.0,"axiom,gmgn,smart_degen",
2026-04-18,J7GR6XoJfCPwZumW9xZ1nbWkyaq1oYSQuSVmCdBTx6Nf,0.986,924,4367,38980.77,0.041,57.74,249.0,smart_degen,
2026-04-18,J2ECnk4MJQ8boxN77ss8fTkQRQxG7JmEUEGbARjxBPaz,0.483,12,931,2393.86,0.051,22.47,73.0,smart_degen,
2026-04-18,BCagckXeMChUKrHEd6fKFA1uiWDtcmCXMsqaheLiUPJd,0.43,23870,30833,82562.57,0.091,592.23,404.0,"axiom,bullx,gmgn,top_renamed,wash_trader",vibed333
2026-04-18,3oe7aYLUw2Pkbm7QMAhAjn5WbzaoG9tigkrX1mAecr1P,0.346,46,946,13296.64,0.046,0.03,155.0,"fomo,smart_degen",
2026-04-18,92MZw35nSRYbyVFZEu8XwB7U2Ta2mUxzN1FvDLYHEVmc,0.621,36,3235,7961.24,0.012,2.59,377.0,smart_degen,
2026-04-18,RaVenxw8kykBbW7KGBaBsb7fDkkBYK4uJVDSFun6ZxR,0.803,1044,43275,17698.12,0.003,29.87,266.0,sandwich_bot,
2026-04-18,RTYizu6bjvFTBfiS56cEoqkKRqk5xa5VBKsHQUeUNDs,0.65,47,2575,7997.56,0.016,6.79,58.0,smart_degen,
2026-04-18,EqS3FuQ1EQs4V5tfmAKw4JmBDwvVJRyJu3x9vCy1vvtA,0.641,52,6441,11366.63,0.013,0.29,53.0,smart_degen,
2026-04-18,81xmRQ78DFWkhuyN6wzzpxN8pSxnAwC4kqXDQzYXk2UV,0.304,50,1849,19448.27,0.169,19.72,17.0,smart_degen,
2026-04-18,HNUE6Wej1mPhE4949vKANZYW5qDnbv4CgaahhNyuqMvi,0.602,10,2352,2973.97,0.021,11.0,,smart_degen,
2026-04-18,77eg8ZALn2CuEs2ErACpBsuzcG5nRoDkK2eyrGQNfxD2,0.697,37,1858,7073.99,0.023,0.32,303.0,smart_degen,
2026-04-18,FTaSBuVj6w2S7XUa8fw19xrLy57DDr6kZDL6sxDXtvTP,0.459,359,809,14472.73,0.053,52.62,95.0,"gmgn,smart_degen",
2026-04-18,AGBeezMQfr2m9ZKyw8npDVFpJzjf1He9fRB25gtQ9zAk,0.573,101,844,26363.04,0.156,7.45,405.0,smart_degen,
2026-04-18,DtVW93ZP44qLvxgNbyDUcHhJFEYUxLD8qEEb5bXJKeWx,0.68,46,2004,8863.76,0.027,0.33,110.0,smart_degen,
2026-04-18,132G9sFk454Y39oePxuyqJNAT1Vy25hWwqNk5RQKk53H,0.3,7,975,1214.81,0.03,1.46,26.0,"padre,smart_degen",
2026-04-18,5y8UkeqUMaN5rnRjDi1AG8wxpQdgJA4mHsx7AUVTVhNp,0.352,0,448,1320.66,0.11,0.0,91.0,"smart_degen,trojan",
2026-04-18,8hfoNZCd2bK9aqCBkhg8f2L1AoL7qfHwd9tMv7x64qui,0.987,169,4860,11337.51,0.041,4.61,406.0,smart_degen,
2026-04-18,ZFAtwikUzRkPYxgtfK3eLif2eBBwDxxC3htMfVHjz2e,0.464,6,1212,5754.88,0.023,60.11,3.0,smart_degen,
2026-04-18,CEUA7zVoDRqRYoeHTP58UHU6TR8yvtVbeLrX1dppqoXJ,0.372,1750,1548,18620.17,0.031,406.42,404.0,"axiom,gmgn,smart_degen",
2026-04-18,9fAHLu6DHtvxk4fMubeGNigEr1Dj1aFxeb1w2ABTLZEJ,0.556,282,280,7243.69,0.071,9.21,126.0,smart_degen,ucsir46296722
2026-04-18,ARC5JvKVCcnitPgTmmqV9xc1FJUPB43AEWPU1iMdYM7k,0.508,213,4813,33881.4,0.085,27.25,157.0,"axiom,gmgn,padre,smart_degen",
2026-04-18,5fHJszey2UdB2nETS1y6NS2wSG4ic9byKtbgJzaYzGeV,0.466,684,4719,28494.35,0.075,22.31,417.0,"axiom,bullx,gmgn,smart_degen",
2026-04-19,852fhBHC6vothi3SThF38pUfKzyFhm2d8zoA6RSEjRis,0.373,4,516,1182.1,0.105,0.0,92.0,smart_degen,
2026-04-19,undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,0.676,28,1056,2607.78,0.013,3.31,8.0,smart_degen,
2026-04-19,5y8UkeqUMaN5rnRjDi1AG8wxpQdgJA4mHsx7AUVTVhNp,0.362,3,511,1356.75,0.104,0.0,92.0,"smart_degen,trojan",
2026-04-19,BQR9GL6FVgNeERPp129AM6hSRPXM6HX1HxMf1z5bWmQn,0.304,3,501,1369.28,0.138,0.0,91.0,"padre,smart_degen",
2026-04-19,AvQuWcqAVnoqRZm6a8XaN9vQfXHNTiJhTSpt6AuX4rGz,0.459,36,2465,13003.6,0.075,53.51,86.0,"gmgn,smart_degen",
2026-04-19,BUjNTwwiwX6r5pcJqy27BQNstLo93Vu7HZNkoeApct6q,0.327,26,611,11231.87,0.106,85.99,9.0,"photon,smart_degen",
2026-04-19,DHvSkhQfpNhEqf7bpFbM3P52JF9MtNeVEiDhn5ZEktF9,0.33,56,990,4470.6,0.035,43.64,168.0,"axiom,fomo,gmgn,padre,smart_degen",
2026-04-19,XJ7tbEKnrwvioTxABhEtwmG4AWkGEDDJASstUzBgh7x,0.627,73,982,10672.76,0.036,1.72,155.0,"fomo,smart_degen,trojan",
2026-04-19,BexkfZSbHodJQBB74fh4QdmDSADbPTrTsUcsAyjV7DD4,0.449,23,586,9936.62,0.104,3.08,29.0,smart_degen,
2026-04-19,RaVenxw8kykBbW7KGBaBsb7fDkkBYK4uJVDSFun6ZxR,0.802,1044,44945,21921.96,0.003,14.99,267.0,sandwich_bot,
2026-04-19,3mfZ8DUzQG4DrEpr74geLnnWwiF2V8a71iS3KAbqG7nF,0.333,3,486,1021.2,0.078,0.0,89.0,smart_degen,
2026-04-19,77eg8ZALn2CuEs2ErACpBsuzcG5nRoDkK2eyrGQNfxD2,0.716,39,1873,7527.67,0.024,0.31,304.0,smart_degen,
2026-04-19,91Tot4afpSsuYQgMRsTms32REKCVZ4GPD35SKoK36Aso,0.536,31,786,3803.15,0.039,3.33,351.0,"axiom,smart_degen",
2026-04-19,5TbRyqrnK4LMStTDqFStv13K41RZiB5PVUiVMGFJzScJ,0.378,3,480,1034.47,0.103,0.0,92.0,"gmgn,smart_degen",
2026-04-19,9yoSimMsWZUdbctcQ8RE4PAirbc6iewRx9pfrGLxwNoB,0.305,35,238,22623.51,0.263,0.1,107.0,smart_degen,
2026-04-19,HQLeWLJRfhnzq4Ucdn3V1vgSw5ZLxRXT6QQa5bASXSdu,0.499,1184,1186,11122.72,0.033,41.79,366.0,"axiom,gmgn,padre,smart_degen",
2026-04-19,BPjz6DvQn559LXyYnRRKmMAkjSgCA9Lrgrkm21Fvbfai,0.333,3,448,1255.06,0.135,0.0,91.0,"smart_degen,trojan",
2026-04-19,HNUE6Wej1mPhE4949vKANZYW5qDnbv4CgaahhNyuqMvi,0.597,16,2422,2855.35,0.019,8.42,,smart_degen,
2026-04-19,Cts62HiDcdkyqnqFxrZxshF7AMWSzeVBAShaXLwzwgt2,0.429,3,532,1721.4,0.163,0.0,92.0,"axiom,smart_degen",
2026-04-19,CqF3gUDojKuVdd6zBk2GZBTG84aAQ2b7tYeeyS18Sd2Z,0.533,256,11405,22186.66,0.007,49.33,51.0,smart_degen,
2026-04-19,PCX1b8exeasEaE8kK5S5XyUC2PXJyqZRCN6pRWxaTdV,0.471,12,146,1158.69,0.047,7.9,10.0,smart_degen,
2026-04-19,HSj9VNgBDvvzfSrgnkq6mUi7AbCGfWZHAx2tBkbT4A35,0.322,3,477,1284.56,0.092,0.0,91.0,smart_degen,
2026-04-19,9jsbFCC819QrQYy1gVcT2sTyKbeRGD2jsdscwvZDs87Q,0.477,4,321,664.74,0.018,0.0,29.0,smart_degen,
2026-04-19,6Qy5E3aGLMQ4bixjZG1UT8gkAN6ToThE9hYV4mm6og8k,0.404,3,501,1499.02,0.114,0.0,92.0,"axiom,smart_degen",
2026-04-19,AWzCfkYVJ24M6QMUEtyjp9QsFyReVhbKypDjb2a5drby,0.407,3,486,1187.78,0.085,0.0,91.0,"axiom,smart_degen",
2026-04-19,HV56TXHsEzNd1bpia84zGkrhvSVuBayG5vh9KjneoYMf,0.468,112,3396,9643.52,0.02,190.65,519.0,"bullx,smart_degen",
2026-04-19,ApeiTAjq3V9grbN2jVbmpLb59wffYmwCBKZnugyuerLZ,0.438,120,2796,3927.64,0.008,149.55,453.0,"axiom,bullx,smart_degen",
2026-04-19,7hDTvCvBGfwFVHjF2LLJu5md6iDRdLgKe7MZUKTR4ySv,0.491,53,1645,4559.95,0.094,1.93,105.0,"padre,smart_degen",
2026-04-19,ARC5JvKVCcnitPgTmmqV9xc1FJUPB43AEWPU1iMdYM7k,0.51,221,4776,32154.98,0.082,15.9,158.0,"axiom,gmgn,padre,smart_degen",
2026-04-19,5fHJszey2UdB2nETS1y6NS2wSG4ic9byKtbgJzaYzGeV,0.467,702,4682,26737.22,0.071,9.56,418.0,"axiom,bullx,gmgn,smart_degen",
2026-04-19,4X77FRfDnQRhER7AmFXSxXRdqobi1Fa7hingewBDVgSc,0.54,14,2234,4020.43,0.035,24.47,403.0,"axiom,gmgn,smart_degen",
2026-04-19,81xmRQ78DFWkhuyN6wzzpxN8pSxnAwC4kqXDQzYXk2UV,0.296,59,2011,19691.91,0.148,5.23,18.0,smart_degen,
2026-04-19,9bh68CX7yQ4bKBZdYqkWxS5WPzAMCyA7bJaFFddwbMZd,0.621,20,2755,561.45,0.005,50.39,18.0,smart_degen,
2026-04-19,CVxUKFrWDYkE3gsZP9gyVmLD6XkXykk2ukKhAfNrJev8,0.541,154,4519,8200.18,0.023,1.45,371.0,smart_degen,
2026-04-20,5pnqWH7PULRM51iEdQdPLi94DWpkdZJNNFDwigJNGtir,0.393,4,517,1158.04,0.08,0.0,91.0,"padre,smart_degen",
2026-04-20,RaVenxw8kykBbW7KGBaBsb7fDkkBYK4uJVDSFun6ZxR,0.802,1044,45979,14306.79,0.002,29.99,268.0,sandwich_bot,
2026-04-20,HV56TXHsEzNd1bpia84zGkrhvSVuBayG5vh9KjneoYMf,0.465,119,3528,9826.0,0.02,170.47,520.0,"bullx,smart_degen",
2026-04-20,CskAmpNFACaFELbVHdgezJu1uda2ivLvH2xFoiKdmPCS,0.671,50,2166,1535.36,0.016,44.04,14.0,smart_degen,
2026-04-20,z9RPuqzWJskcRrhWNfcwmWExbsP6i5ob53raQRF8nFw,0.409,14,6755,6028.49,0.035,29.39,43.0,smart_degen,
2026-04-20,GT4NDJHsGQvjBGatevrEN5NS3GTGYtveMcGYtYgb1wzD,0.416,22,6815,7639.59,0.044,28.13,42.0,smart_degen,
2026-04-20,8CuFCxoGHUMWV8EXcKN25gWkxTiGvkJe4uQpXfRubPYV,0.407,16,6654,5652.57,0.033,28.49,43.0,smart_degen,
2026-04-20,AEqPi4RCD7uRXmMB5ec6V4ehT74Ra2kEdmqVqtHUmyLh,0.358,86,6087,4501.13,0.009,49.73,215.0,"axiom,smart_degen",
2026-04-20,CqF3gUDojKuVdd6zBk2GZBTG84aAQ2b7tYeeyS18Sd2Z,0.52,264,11230,19086.36,0.006,43.42,52.0,smart_degen,
2026-04-20,2LsypdLpNwWiC8N5P1Ut3e1hEdv3aKRiiM8VWGMc6XVJ,0.543,5,4172,1490.45,0.016,16.26,,smart_degen,
2026-04-20,B4b31yfLNPpN4MfwNTUjWRYBcCseN5CMZ3f5UjHd7h9D,0.443,16,329,2084.73,0.043,0.03,83.0,"fomo,smart_degen",
